company_name,company_industry,employee_count_range,city,platform
Taco Bell,Restaurants,"10,000+",Irvine,greenhouse
EquipmentShare,Construction,"5001-10,000",Columbia,greenhouse
Ruby Labs,"Technology, Information and Media",51-200,San Francisco,greenhouse
SpaceX,Aviation and Aerospace Component Manufacturing,"10,000+",Hawthorne,greenhouse
DoorDash,Software Development,"10,000+",San Francisco,greenhouse
Scale AI,Software Development,1001-5000,San Francisco,greenhouse
Crocs,Retail Apparel and Fashion,1001-5000,Broomfield,greenhouse
Carvana,"Technology, Information and Internet","5001-10,000",Tempe,greenhouse
MongoDB,Software Development,"5001-10,000",New York,greenhouse
Elastic,Software Development,1001-5000,San Francisco,greenhouse
Samsara,Software Development,1001-5000,San Francisco,greenhouse
Curaleaf,Alternative Medicine,1001-5000, New York,greenhouse
CoreWeave,IT Services and IT Consulting,501-1000,New York,greenhouse
IXL Learning,E-Learning Providers,"5001-10,000",San Mateo (San Francisco Bay Area),greenhouse
FeverUp,IT Services and IT Consulting,1001-5000,New York,greenhouse
Intercom,Software Development,1001-5000,San Francisco,greenhouse
Gusto,Software Development,1001-5000,San Francisco,greenhouse
Relativity Space,Aviation and Aerospace Component Manufacturing,1001-5000,Long Beach,greenhouse
The Scion Group,Real Estate,1001-5000,Chicago,greenhouse
Spring Health,Mental Health Care,1001-5000,New York City,greenhouse
Robinhood,Financial Services,1001-5000,Menlo Park,greenhouse
Formlabs,Computers and Electronics Manufacturing,501-1000,Somerville,greenhouse
Dropbox,Software Development,1001-5000,San Francisco,greenhouse
Modern Animal,Veterinary Services,201-500,Culver City,greenhouse
Thriveworks,Mental Health Care,1001-5000,Lynchburg,greenhouse
Ogilvy,Advertising Services,"10,000+",New York,greenhouse
Remitly,Financial Services,1001-5000,Seattle,greenhouse
Abnormal Security,Computer and Network Security,501-1000,Las Vegas,greenhouse
Braze,Software Development,1001-5000,New York,greenhouse
AlixPartners,Business Consulting and Services,1001-5000,New York,greenhouse
WeWork,Real Estate,"5001-10,000",New York,greenhouse
The RealReal,Retail Apparel and Fashion,1001-5000,San Francisco,greenhouse
Verkada,Software Development,1001-5000,San Mateo,greenhouse
Pair Team,Hospitals and Health Care,51-200,San Francisco,greenhouse
Bond Vet,Veterinary Services,201-500,New York,greenhouse
Garner Health,Software Development,201-500,New York,greenhouse
Figma,Design Services,"5001-10,000",San Francisco,greenhouse
The Farmer's Dog,Manufacturing,501-1000,New York,greenhouse
BetterUp,Professional Training and Coaching,1001-5000,Austin,greenhouse
Planet Professional,Staffing and Recruiting,,Bedford,greenhouse
Townsquare Interactive,Advertising Services,501-1000,Charlotte,greenhouse
Cityblock Health,Hospitals and Health Care,1001-5000,Brooklyn,greenhouse
Charlie Health,Mental Health Care,1001-5000,Bozeman,greenhouse
West Monroe,Business Consulting and Services,1001-5000,Chicago,greenhouse
Smartsheet,Software Development,1001-5000,Bellevue,greenhouse
Airtable,Software Development,501-1000,San Francisco,greenhouse
YETI,Manufacturing,1001-5000,Austin,greenhouse
Legend Biotech,Biotechnology Research,1001-5000,Somerset,greenhouse
"Ceribell, Inc",Pharmaceutical Manufacturing,201-500,Sunnyvale,greenhouse
Mindbody,Wellness and Fitness Services,1001-5000,San Luis Obispo,greenhouse
