company_name,company_industry,employee_count_range,city,platform
Domino's,Restaurants,"10,000+",Ann Arbor,smartrecruiter
Walgreens,Retail Pharmacies,"10,000+",Deerfield,smartrecruiter
McDonald's,Restaurants,"10,000+",Chicago,smartrecruiter
Leidos,IT Services and IT Consulting,"10,000+",Reston,smartrecruiter
City of Philadelphia,Government Administration,"10,000+",Philadelphia,smartrecruiter
Spectrum,Telecommunications,"10,000+",Stamford ,smartrecruiter
AECOM,Civil Engineering,"10,000+",Dallas,smartrecruiter
Pilot Flying J,Retail,"10,000+",Knoxville,smartrecruiter
Visa,IT Services and IT Consulting,"10,000+",Foster City,smartrecruiter
AbbVie,Pharmaceutical Manufacturing,"10,000+",North Chicago,smartrecruiter
North Shore Health,Hospitals and Health Care,1001-5000,Milwaukee,smartrecruiter
Dairy Queen,Food and Beverage Services,1001-5000,Bloomington,smartrecruiter
Palo Alto Networks,Computer and Network Security,"10,000+",SANTA CLARA,smartrecruiter
Northwestern Medicine,Hospitals and Health Care,"10,000+",Chicago,smartrecruiter
University of Maryland Medical System,Hospitals and Health Care,"5001-10,000",Baltimore,smartrecruiter
LinkedIn,Software Development,"10,000+",Sunnyvale,smartrecruiter
NBCUniversal,Entertainment Providers,"10,000+",New York City,smartrecruiter
Baxter,Pharmaceutical Manufacturing,"10,000+",Deerfield,smartrecruiter
Home Instead,Individual and Family Services,"10,000+",Omaha,smartrecruiter
The Learning Experience,Education Administration Programs,"5001-10,000",Deerfield Beach,smartrecruiter
NielsenIQ,Information Services,"10,000+",Chicago,smartrecruiter
Veolia North America,Environmental Services,"10,000+",Boston,smartrecruiter
ServiceNow,Software Development,"10,000+",Santa Clara,smartrecruiter
Public Storage,Real Estate,"5001-10,000",Glendale,smartrecruiter
Christian Brothers Automotive,Motor Vehicle Manufacturing,1001-5000,Houston,smartrecruiter
FPI Management,Real Estate,1001-5000,Folsom,smartrecruiter
Equinox,Wellness and Fitness Services,"5001-10,000",New York,smartrecruiter
Cornerstone Building Brands,Wholesale Building Materials,"5001-10,000",Cary,smartrecruiter
Boston Medical Center,Hospitals and Health Care,"5001-10,000",Boston,smartrecruiter
Olsson,Engineering Services,1001-5000,Lincoln,smartrecruiter
Biogen,Biotechnology Research,"5001-10,000",Cambridge,smartrecruiter
Owens Corning,Wholesale Building Materials,"10,000+",Toledo,smartrecruiter
Carilion Clinic,Hospitals and Health Care,"10,000+",Roanoke,smartrecruiter
RR Donnelley,Manufacturing,"10,000+",Chicago,smartrecruiter
Experian,Information Services,"10,000+",Costa Mesa,smartrecruiter
Foster Farms,Food and Beverage Manufacturing,"5001-10,000",Livingston,smartrecruiter
EVERSANA,Pharmaceutical Manufacturing,"5001-10,000",Chicago,smartrecruiter
Paradies Lagardère,Retail,"5001-10,000",Atlanta,smartrecruiter
Indiana University,Higher Education,"10,000+",Bloomington,smartrecruiter
Freshworks,Software Development,"5001-10,000",San Mateo,smartrecruiter
Synechron,Financial Services,"10,000+",New York,smartrecruiter
Sonic Automotive,Retail Motor Vehicles,"5001-10,000",Charlotte,smartrecruiter
Avery Dennison,Packaging and Containers Manufacturing,"10,000+",Mentor,smartrecruiter
"Mattel, Inc.",Manufacturing,"10,000+",El Segundo,smartrecruiter
AWP Safety,Utilities,1001-5000,North Canton,smartrecruiter
Pilot Company,Retail,"5001-10,000",Knoxville,smartrecruiter
ITW,Machinery Manufacturing,"5001-10,000",Glenview,smartrecruiter
Expeditors,"Transportation, Logistics, Supply Chain and Storage","10,000+",Bellevue,smartrecruiter
Intuitive,Medical Equipment Manufacturing,,California,smartrecruiter
Epsilon,Advertising Services,"5001-10,000",Irving,smartrecruiter
KMS Technology,IT Services and IT Consulting,1001-5000,Atlanta,smartrecruiter
Uplift Education,Education Administration Programs,1001-5000,Dallas,smartrecruiter
Unitek Learning,Education Administration Programs,1001-5000,Newport Beach,smartrecruiter
Senior Lifestyle,Hospitals and Health Care,"5001-10,000",Chicago,smartrecruiter
City of San Antonio,Government Administration,"5001-10,000",San Antonio,smartrecruiter
Verisk,Information Services,"5001-10,000",Jersey City,smartrecruiter
Qcells,Oil and Gas,1001-5000,Irvine,smartrecruiter
Hillstone Restaurant Group,Restaurants,1001-5000,Los Angeles,smartrecruiter
Equus Workforce Solutions,Staffing and Recruiting,1001-5000,Louisville,smartrecruiter
GNC,Retail,"5001-10,000",Pittsburgh,smartrecruiter
Eataly,Food and Beverage Services,1001-5000,Global,smartrecruiter
Lawrence Livermore National Laboratory,Research Services,"5001-10,000",Livermore,smartrecruiter
Kennametal,Machinery Manufacturing,"5001-10,000",Pittsburgh,smartrecruiter
Clean Earth,Environmental Services,1001-5000,King of Prussia ,smartrecruiter
Auberge Resorts Collection,Hospitality,,Mill Valley,smartrecruiter
Guardant Health,Biotechnology Research,1001-5000,Palo Alto,smartrecruiter
Block,Financial Services,"10,000+",Oakland,smartrecruiter
Forefront Healthcare,Hospitals and Health Care,51-200,Detroit,smartrecruiter
Uncommon Schools,Primary and Secondary Education,1001-5000,New York,smartrecruiter
MGA Homecare,Hospitals and Health Care,1001-5000,Scottsdale,smartrecruiter
Chromalloy,Airlines and Aviation,1001-5000,Palm Beach Gardens,smartrecruiter
Columbia University,Higher Education,"10,000+",New York,smartrecruiter
"Frontier Management, LLC",Nursing Homes and Residential Care Facilities,201-500,Dallas,smartrecruiter
Procore Technologies,Software Development,1001-5000,Carpinteria,smartrecruiter
Procore,IT Services and IT Consulting,1001-5000,Carpinteria,smartrecruiter
Viasat,Telecommunications,"5001-10,000",Carlsbad,smartrecruiter
Fortune Brands Innovations,Manufacturing,"5001-10,000",Deerfield,smartrecruiter
The Tile Shop,Retail,1001-5000,Plymouth,smartrecruiter
Spectra Infosystems Inc,IT Services and IT Consulting,11-50,Alpharetta,smartrecruiter
Senior Resource Group,Hospitals and Health Care,201-500,Solana Beach,smartrecruiter
Dungarvin,Individual and Family Services,"5001-10,000",Mendota Heights,smartrecruiter
A Place for Mom,Hospitals and Health Care,1001-5000,New York,smartrecruiter
MasterBrand Cabinets,Construction,"5001-10,000",Jasper,smartrecruiter
Dynatrace,Software Development,1001-5000,Waltham,smartrecruiter
CyberArk,Software Development,1001-5000,Newton,smartrecruiter
Bosch USA,Software Development,"10,000+",Farmington Hills,smartrecruiter
Westgate Resorts,Hospitality,"5001-10,000",Orlando,smartrecruiter
CRB,Construction,51-200,Kansas City,smartrecruiter
Asbury Communities,Hospitals and Health Care,1001-5000,Beech Bluff,smartrecruiter
DeAngelo Contracting Services,Construction,51-200,Hazleton,smartrecruiter
"Quantum Dynamics, Inc.",IT Services and IT Consulting,51-200,Macon,smartrecruiter
Zscaler,Computer and Network Security,"5001-10,000",San Jose,smartrecruiter
Timmons Group,Civil Engineering,501-1000,Richmond,smartrecruiter
Vuori,Retail Apparel and Fashion,1001-5000,Carlsbad,smartrecruiter
Veeam Software,IT Services and IT Consulting,"5001-10,000",Seattle,smartrecruiter
Publicis Sapient,Business Consulting and Services,"10,000+",Boston,smartrecruiter
insightsoftware,Software Development,1001-5000,Raleigh,smartrecruiter
Chamberlain University,Higher Education,1001-5000,Chicago,smartrecruiter
Cincinnati Children's Hospital,Hospitals and Health Care,"10,000+",Cincinnati,smartrecruiter
City and County of San Francisco,Government Administration,"5001-10,000",San Francisco,smartrecruiter
Upwork,Software Development,"10,000+",San Francisco,smartrecruiter
Ingram Content Group,Book and Periodical Publishing,1001-5000,La Vergne,smartrecruiter
Universal Studios Hollywood,Entertainment Providers,"10,000+",Universal City,smartrecruiter
Lakeshore Learning Materials,Retail,1001-5000,Carson,smartrecruiter
Monro Inc.,Vehicle Repair and Maintenance,1001-5000,Rochester,smartrecruiter
Puget Sound Energy,Utilities,1001-5000,Bellevue,smartrecruiter
Hungry Horse,Restaurants,1001-5000,Renfrew,smartrecruiter
"DeAngelo Contracting Services, LLC",Construction,51-200,Hazleton,smartrecruiter
Jack Link's Protein Snacks,Manufacturing,1001-5000,Minong,smartrecruiter
AIR Communities,Real Estate,201-500,Denver,smartrecruiter
Wonderful Citrus,Food and Beverage Manufacturing,1001-5000,Delano,smartrecruiter
North 40 Outfitters,Retail,501-1000,Great Falls,smartrecruiter
Achieve,Financial Services,1001-5000,Washington,smartrecruiter
Sutherland,IT Services and IT Consulting,"10,000+",Pittsford (Rochester),smartrecruiter
Cash App,"Technology, Information and Internet",1001-5000,New York,smartrecruiter
Globant,IT Services and IT Consulting,"10,000+",San Francisco,smartrecruiter
KIPP Texas Public Schools,Primary and Secondary Education,1001-5000,Houston,smartrecruiter
California Closets,Design Services,1001-5000,Richmond,smartrecruiter
Press Ganey,Hospitals and Health Care,1001-5000,South Bend,smartrecruiter
Fiberon,Wholesale Building Materials,1001-5000,New London,smartrecruiter
Alliance Animal Health,Veterinary Services,201-500,Rye Brook,smartrecruiter
Western Digital,Computer Hardware Manufacturing,"10,000+",San Jose,smartrecruiter
Wynn Resorts,Hospitality,"5001-10,000",Las Vegas,smartrecruiter
KIPP Public Schools Northern California,Primary and Secondary Education,501-1000,Oakland,smartrecruiter
Eyeglass World,Retail,501-1000,Lawrenceville,smartrecruiter
Adtalem Global Education,Education Administration Programs,"5001-10,000",Chicago,smartrecruiter
KIPP DC,Primary and Secondary Education,1001-5000,Washington,smartrecruiter
Arista Networks,Computer Networking Products,1001-5000,Santa Clara,smartrecruiter
Elbit Systems of America,Defense and Space Manufacturing,1001-5000,Fort Worth,smartrecruiter
Ent Credit Union,Banking,501-1000,Colorado Springs,smartrecruiter
Turnitin,Software Development,501-1000,Oakland,smartrecruiter
Worldwide TechServices,IT Services and IT Consulting,1001-5000,Tewksbury,smartrecruiter
Apexon,IT Services and IT Consulting,1001-5000,Santa Clara,smartrecruiter
Arthur Grand Technologies Inc,Staffing and Recruiting,51-200,Ashburn,smartrecruiter
Moen,Wholesale Building Materials,1001-5000,North Olmsted,smartrecruiter
Renaissance Learning,Primary and Secondary Education,1001-5000,Wisconsin Rapids,smartrecruiter
Miller Electric Mfg. LLC,Machinery Manufacturing,,Appleton,smartrecruiter
Fannie Mae,Financial Services,"10,000+",Washington,smartrecruiter
Aspen Skiing Company,Skiing Facilities,1001-5000,Aspen,smartrecruiter
Everise,Outsourcing and Offshoring Consulting,"10,000+",Plantation,smartrecruiter
Christian Living Communities,Hospitals and Health Care,501-1000,Englewood,smartrecruiter
Village Green,Real Estate,1001-5000,Southfield,smartrecruiter
Health Evolution,Hospitals and Health Care,51-200,San Francisco,smartrecruiter
Brightspeed,Telecommunications,1001-5000,Charlotte,smartrecruiter
O-I,"Glass, Ceramics and Concrete Manufacturing","10,000+",Perrysburg,smartrecruiter
Therma-Tru Doors,Wholesale Building Materials,1001-5000,1750 Indian Wood Circle,smartrecruiter
Chuze Fitness,Wellness and Fitness Services,1001-5000,San Diego,smartrecruiter
Walden University,Higher Education,1001-5000,,smartrecruiter
All Care Therapies,"Physical, Occupational and Speech Therapists",501-1000,Cerritos,smartrecruiter
EVERSANA INTOUCH,Advertising Services,,Overland Park,smartrecruiter
Dough Re Mi LLC,Restaurants,1-10,Belton,smartrecruiter
Cielo Talent,Human Resources Services,1001-5000,Wauwatosa,smartrecruiter
True Food Kitchen,Restaurants,1001-5000,Scottsdale,smartrecruiter
Digitas Health,Advertising Services,1001-5000,Philadelphia,smartrecruiter
Miratech,IT Services and IT Consulting,501-1000,New York,smartrecruiter
IPS,Information Services,1001-5000,Secaucus,smartrecruiter
Therapy and Beyond,Hospitals and Health Care,201-500,Carrollton,smartrecruiter
Red Gate Group,Business Consulting and Services,51-200,Chantilly,smartrecruiter
Blend,Professional Services,501-1000,Columbia,smartrecruiter
DENSO,Motor Vehicle Manufacturing,"10,000+",Southfield,smartrecruiter
Slice,Software Development,501-1000,New York,smartrecruiter
MTS Systems Corporation,Industrial Machinery Manufacturing,1001-5000,Eden Prairie,smartrecruiter
spruceinfotech,IT Services and IT Consulting,51-200,Exton,smartrecruiter
Image Associates Inc.,Staffing and Recruiting,1-10,Massapequa,smartrecruiter
Auburn-Washburn USD 437,Education Administration Programs,501-1000,Topeka,smartrecruiter
Johnny Allen Tennis,Wellness and Fitness Services,1-10,Chino,smartrecruiter
Starcom,Advertising Services,"5001-10,000",Chicago,smartrecruiter
Wiley,Book and Periodical Publishing,"5001-10,000",Hoboken,smartrecruiter
Harsco Corporation,Manufacturing,"10,000+",Camp Hill,smartrecruiter
Texas Commission on Environmental Quality,Environmental Services,1001-5000,Austin,smartrecruiter
Headspace,Mental Health Care,201-500,Santa Monica,smartrecruiter
IMAGINiT Technologies,Software Development,201-500,Owings Mills,smartrecruiter
Holy Cross Hospital,Hospitals and Health Care,1001-5000,Fort Lauderdale,smartrecruiter
Vericast,Financial Services,"5001-10,000",San Antonio,smartrecruiter
Flywire,Software Development,1001-5000,Boston,smartrecruiter
Coffman Engineers,Design Services,501-1000,Seattle,smartrecruiter
Red Wing Shoe Company,Retail Apparel and Fashion,1001-5000,Clovis,smartrecruiter
Covenant,Truck Transportation,1001-5000,Chattanooga,smartrecruiter
Tire Choice Auto Service Centers,Motor Vehicle Manufacturing,"5001-10,000",Estero,smartrecruiter
QAD,Software Development,1001-5000,Santa Barbara,smartrecruiter
Crystal Clear Building Services,Facilities Services,51-200,Oakwood Village,smartrecruiter
i360technologies,IT Services and IT Consulting,11-50,Leesburg,smartrecruiter
Enprotech,Industrial Machinery Manufacturing,501-1000,Cleveland,smartrecruiter
Abercrombie & Fitch,Retail,"10,000+",Columbus,smartrecruiter
Privia Health,Hospitals and Health Care,1001-5000,Arlington,smartrecruiter
"Norco, Inc",Retail,501-1000,Boise,smartrecruiter
ITG Brands,Manufacturing,1001-5000,Greensboro,smartrecruiter
SLS,Insurance,51-200,Vero Beach,smartrecruiter
AHRC New York City,Non-profit Organizations,1001-5000,New York,smartrecruiter
Mirantis,Software Development,501-1000,Campbell,smartrecruiter
Ambius,Facilities Services,1001-5000,Reading,smartrecruiter
Vestcom,Advertising Services,1001-5000,Little Rock,smartrecruiter
Blueprint,Mental Health Care,51-200,Chicago,smartrecruiter
Longbridge Financial,Financial Services,201-500,Mahwah,smartrecruiter
"MasterBrand, Inc.",Wholesale Building Materials,,Jasper,smartrecruiter
NBC Sports,Broadcast Media Production and Distribution,,Stamford ,smartrecruiter
The Autism Therapy Group,Hospitals and Health Care,51-200,Lombard,smartrecruiter
Prime Providers,Hospitals and Health Care,"10,000+",Ontario,smartrecruiter
Square,Software Development,"5001-10,000",San Francisco,smartrecruiter
Razorfish,Advertising Services,1001-5000,New York,smartrecruiter
"ANALYGENCE, Inc.",Professional Services,201-500,Fulton,smartrecruiter
BTS,Defense and Space Manufacturing,"5001-10,000",Columbia,smartrecruiter
Publicis Collective,Advertising Services,501-1000,New York,smartrecruiter
Locus Robotics,"Transportation, Logistics, Supply Chain and Storage",201-500,Wilmington,smartrecruiter
AKA Hotels+Hotel Residences,Hospitality,501-1000,Plymouth Meeting,smartrecruiter
Master Lock,Manufacturing,501-1000,Oak Creek,smartrecruiter
"Drucker and Falk, LLC",Real Estate,501-1000,Newport News,smartrecruiter
Center for Discovery,Mental Health Care,1001-5000,Irvine,smartrecruiter
Invisible Technologies,Software Development,1001-5000,Remote All Over the World,smartrecruiter
RW&CO.,Retail,1001-5000,San Francisco,smartrecruiter
Mr. Tire Auto Service Centers,Motor Vehicle Manufacturing,1001-5000,Rochester,smartrecruiter
Treace,Medical Equipment Manufacturing,201-500,Ponte Vedra Beach,smartrecruiter
"NVE, Inc.",Facilities Services,201-500,Reston,smartrecruiter
Meddys,Restaurants,51-200,Wichita,smartrecruiter
Unitek College,Higher Education,1001-5000,Fremont,smartrecruiter
MSNBC,Broadcast Media Production and Distribution,,New York,smartrecruiter
MUFG Investor Services,Financial Services,"10,000+",New York,smartrecruiter
Cricut,Software Development,501-1000,South Jordan,smartrecruiter
IntegriChain,Software Development,201-500,Philadelphia,smartrecruiter
Alchemy,Software Development,201-500,San Francisco,smartrecruiter
